pdf_name,collectivity_name,collectivity_sispea_id,indicator,sispea_value,pdf_value
RPQS_Rully_AC_2021,Rully,167638,D201.0,756.0,756.0
RPQS_Rully_AC_2021,Rully,167638,D202.0,0.0,0.0
RPQS_Rully_AC_2021,Rully,167638,D203.0,0.0,0.0
RPQS_Rully_AC_2021,Rully,167638,D204.0,4.11,4.11
RPQS_Rully_AC_2021,Rully,167638,P201.1,,100.0
RPQS_Rully_AC_2021,Rully,167638,P202.2B,77.0,77.0
RPQS_Rully_AC_2021,Rully,167638,P203.3,100.0,
RPQS_Rully_AC_2021,Rully,167638,P204.3,100.0,
RPQS_Rully_AC_2021,Rully,167638,P205.3,0.0,
RPQS_Rully_AC_2021,Rully,167638,P206.3,,
RPQS_Rully_AC_2021,Rully,167638,P207.0,0.0,0.0
RPQS_Rully_AC_2021,Rully,167638,P251.1,0.0,0.0
RPQS_Rully_AC_2021,Rully,167638,P252.2,0.0,0.0
RPQS_Rully_AC_2021,Rully,167638,P253.2,,0.0
RPQS_Rully_AC_2021,Rully,167638,P254.3,100.0,100.0
RPQS_Rully_AC_2021,Rully,167638,P255.3,90.0,90.0
RPQS_Rully_AC_2021,Rully,167638,P256.2,22.2,22.25
RPQS_Rully_AC_2021,Rully,167638,P257.0,0.47,0.47
RPQS_Rully_AC_2021,Rully,167638,P258.1,0.0,0.0
